,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind_Speed
0,Lagoa,37.14,-8.45,73.4,69,0,9.17
1,Geraldton,49.72,-86.95,59.0,93,90,12.75
2,Talnakh,69.49,88.39,48.62,70,8,11.77
3,Mar del Plata,-46.43,-67.52,44.75,67,24,3.38
4,Saint-Philippe,45.36,-73.48,77.43,83,75,6.93
5,Mataura,-46.19,168.86,40.34,86,80,11.65
6,Itarema,-2.92,-39.92,88.49,62,12,15.01
7,Avarua,-21.21,-159.78,71.6,83,40,13.87
8,Albany,42.65,-73.75,73.4,73,90,6.93
9,Lebu,8.96,38.73,64.4,72,75,9.17
10,Basoko,1.23,23.61,77.69,88,56,3.38
11,Busselton,-33.64,115.35,56.63,100,92,6.17
12,Hobart,-42.88,147.33,46.4,70,75,9.17
13,Bethel,60.79,-161.76,57.2,100,75,6.93
14,Virginia Beach,36.85,-75.98,81.9,62,40,9.17
15,Yenangyaung,20.46,94.87,81.02,77,44,10.2
16,Tazovskiy,67.47,78.7,63.02,41,0,13.78
17,Mount Isa,-20.73,139.49,48.2,49,0,7.4
18,Hermanus,-34.42,19.24,66.35,55,36,2.71
19,Weihe,32.99,105.33,72.2,83,56,2.15
20,Tiksi,71.64,128.87,45.65,77,0,7.96
21,Georgetown,6.8,-58.16,84.2,74,75,11.41
22,Yerbogachen,61.28,108.01,56.99,85,92,4.16
23,Totness,33.74,-80.8,86.5,66,40,3.27
24,Pisco,-13.71,-76.2,62.6,93,90,8.05
25,Namibe,-15.19,12.15,68.42,100,0,6.73
26,Flin Flon,54.77,-101.88,71.6,49,40,2.24
27,Qaanaaq,77.48,-69.36,39.08,89,0,0.25
28,Halifax,44.65,-63.58,76.14,83,75,17.22
29,Upernavik,72.79,-56.15,40.7,91,76,7.07
30,Jamestown,-33.21,138.6,54.92,45,92,7.96
31,Adrar,27.87,-0.29,116.6,8,0,5.82
32,Punta Arenas,-53.16,-70.91,40.01,75,0,13.87
33,Codrington,-28.95,153.24,42.68,85,0,2.37
34,Ushuaia,-54.81,-68.31,39.2,69,40,4.7
35,Palmer,-34.85,139.16,59.0,54,0,10.29
36,Puerto Ayora,-0.74,-90.35,80.6,61,75,14.99
37,Port Alfred,-33.59,26.89,70.76,76,8,15.46
38,Chiredzi,-21.05,31.67,74.99,32,0,9.31
39,Antofagasta,-23.65,-70.4,57.2,71,90,1.12
40,Viedma,-40.81,-62.99,50.15,62,0,8.19
41,Chuy,-33.69,-53.46,57.53,97,92,16.58
42,Thompson,55.74,-97.86,75.2,47,5,5.82
43,Tupik,54.43,119.94,73.01,72,12,7.29
44,Bulgan,48.81,103.53,53.84,67,12,3.15
45,Ust-Maya,60.42,134.54,55.91,99,92,2.04
46,Ponta do Sol,-20.63,-46.0,72.74,53,0,7.07
47,Kataysk,56.29,62.58,83.0,35,32,5.73
